source,symbol,company,desc,announced_at,attachment_text,is_order_win,order_value_inr,counterparty_type,hand_label,hand_value,hand_counterparty
NSE-equities,BASF,BASF India Limited,Reply to Clarification Sought,2021-12-31 18:49:12,"BASF:The Exchange had sought clarification from BASF India Limited with respect to announcement dated 29-Dec-2021, regarding BASF reaches agreement to divest its Production Site in Quincy, Florida to Clariant. On basis of above the Company was required to clarify following:��1. Date on which the agreement for sale has been entered into;2. Brief details of buyers and whether any of the buyers belong to the promoter/ promoter group/group companies. If yes, details thereof.3. Whether the transaction would fall within related party transactions? If yes, whether the same is done at ""arm's length"";4. Additionally, in case of a slump sale, indicative disclosures provided for amalgamation/merger, shall be disclosed by the listed entity with respect to such slump sale.The response of the Company is attached.",False,,unclear,no,,
NSE-equities,TATAPOWER,Tata Power Company Limited,Press Release,2022-11-09 16:28:39,Tata Power Company Limited has informed the Exchange about press release dated 09-Nov-2022 titled Tata Power Renewable Energy Limited receives ���Letter of Award��� to set up 150 MW Solar project in Maharashtra,True,,govt,yes,,govt
NSE-equities,RELIANCE,Reliance Industries Limited,Acquisition,2022-02-10 08:38:18,"Reliance New Energy Limited (RNEL), a wholly-owned subsidiary of the Company, has entered into an agreement with Altigreen Propulsion Labs Private Limited (Altigreen) for subscription of 34,000 Series A Compulsorily Convertible Preference Shares of face value Rs 100 each for an aggregate consideration of Rs 50.16 Crore. The transaction is proposed to be completed before March 2022.",False,,unclear,no,,
NSE-equities,AKSHOPTFBR,Aksh Optifibre Limited,Updates,2023-09-21 12:36:51,Aksh Optifibre Limited has informed the Exchange regarding 'Receiving of Work Order from Jaipur Development Authority ( JDA )'.,True,,govt,yes,,govt
NSE-equities,AWHCL,Antony Waste Handling Cell Limited,Awarding orders/contract,2022-05-27 13:57:29,Antony Waste Handling Cell Limited has informed the Exchange about Awarding orders/contract,True,,unclear,yes,,unclear
NSE-equities,VAIBHAVGBL,Vaibhav Global Limited,Press Release,2023-09-26 22:07:11,"Vaibhav Global Limited has informed the Exchange regarding a press release dated September 26, 2023, titled ""Shop TJC (UK) entered into agreement to acquire MindfulSouls': An e-com company of fashion jewellery and lifestyle products"".",False,,unclear,no,,
NSE-equities,DHRUV,Dhruv Consultancy Services Limited,Updates,2022-12-30 17:18:32,"Dhruv Consultancy Services Limited has informed the Exchange regarding 'Letter of Acceptance ( LOA )   Consultancy Services for Authority's Engineer for supervision of Rehabilitation and Up-gradation to 4 Lane configurations & Strengthening of Thanpuri to Paror section from Km 85+135 to Km 100.840 of NH-20 (New NH-154) (Design Length 16.275 KM) of Pathankot-Mandi under NH (0) in H.P (Package-UC) on EPC mode and fees of the said services is Rs. 6,96,28,850/- Exclusive of GST'.",True,69628850.0,govt,yes,69628850.0,govt
NSE-equities,BEL,Bharat Electronics Limited,Bagging/Receiving of orders/contracts,2025-11-10 14:39:16,Bharat Electronics Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,LT,Larsen & Toubro Limited,Press Release,2023-06-06 10:20:11,"Larsen & Toubro Limited has informed the Exchange regarding a press release dated Jun 06, 2023, titled ""L&T Construction Wins (Significant*) Orders for its Buildings & Factories Business"".",True,,unclear,yes,,unclear
NSE-sme,ZENITHDRUG,Zenith Drugs Limited,General Updates,2025-03-04 15:07:39,Zenith Drugs Limited has informed the Exchange that it has been awarded tenders.,True,,unclear,yes,,unclear
NSE-equities,BALRAMCHIN,Balrampur Chini Mills Limited,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,2025-04-26 21:48:52,Balrampur Chini Mills Limited has informed the Exchange regarding 'Announcement under Regulation 30 - Income Tax Assessment Order',False,,unclear,no,,
NSE-equities,AHLUCONT,Ahluwalia Contracts (India) Limited,Analysts/Institutional Investor Meet/Con. Call Updates,2025-05-28 16:20:09,Ahluwalia Contracts (India) Limited has informed the Exchange about Schedule of meet,False,,unclear,no,,
NSE-equities,MONARCH,Monarch Networth Capital Limited,Agreements,2025-07-08 22:02:07,Monarch Networth Capital Limited has informed the Exchange about the Share Subscription and Shareholders  Agreement ( SSHA ) executed with Metropolitan Stock Exchange of India Limited ( MSEI ).,False,,private,no,,
NSE-equities,KERNEX,Kernex Microsystems (India) Limited,Awarding orders/contract,2022-08-02 18:13:33,Kernex Microsystems (India) Limited has informed the Exchange about Awarding orders/contract,True,,unclear,yes,,unclear
NSE-sme,WEWIN,WE WIN LIMITED,Disclosure under SEBI Takeover Regulations,2022-04-07 18:00:29,Promoter/Promoter Group of WE WIN LIMITED has submitted a disclosure under Regulation 31(4) of SEBI Takeover Regulations for the year ended 31-Mar-2022,False,,unclear,no,,
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,Updates,2026-05-26 18:23:21,"Sammaan Capital Limited has informed the Exchange regarding 'Pursuant to Regulation 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable Non-Convertible Debentures and Unsecured Redeemable Non-Convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchanges'.",False,,unclear,no,,
NSE-equities,ZAGGLE,Zaggle Prepaid Ocean Services Limited,Bagging/Receiving of orders/contracts,2025-04-01 17:32:57,Zaggle Prepaid Ocean Services Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,DBL,Dilip Buildcon Limited,Updates,2021-03-05 08:42:21,"Dilip Buildcon Limited has informed the Exchange regarding 'DBL has received letter of acceptance (LOA) for two new HAM projects  Bangalore Chennai Expressway under Bharatmala Pariyojna in the state of Karnataka, Phase -I (Package- I & II) worth Rs. 2439 Crores. We are pleased to inform you that the Company has received the letter of acceptance (LOA) on March 04, 2021 from the National Highways Authority of India on Hybrid Annuity basis in the state of Karnataka. The trading window for dealing in the securities of the Company for all insiders, designated persons and their immediate relatives, connected persons, fiduciaries and intermediaries is already closed and shall remain closed till 48 hours from the date the said information generally made available with the public.'.",True,24390000000.0,govt,yes,24390000000.0,govt
NSE-equities,ITC,ITC Limited,Acquisition,2023-06-19 19:10:06,ITC Limited has informed the Exchange about Agreement to acquire further shares in Mother Sparsh Baby Care Private Limited,False,,unclear,no,,
NSE-equities,HILINFRA,Highway Infrastructure Limited,Bagging/Receiving of orders/contracts,2025-12-10 20:34:23,Highway Infrastructure Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,WELSPUNLIV,Welspun Living Limited,Press Release,2024-02-29 13:15:34,"Welspun Living Limited has informed the Exchange regarding a press release dated February 29, 2024, titled ""Welspun Living Limited's CEO & MD, Dipali Goenka, Honored with CNBC's Changemaker Award"".",False,,unclear,no,,
NSE-equities,ETERNAL,ETERNAL LIMITED,Sale or disposal,2025-10-16 23:28:41,"Eternal limited has informed the exchange about business transfer agreement entered into between Blink Commerce Private Limited and Blinkit Foods Limited, wholly owned subsidiaries of the Company.",False,,unclear,no,,
NSE-equities,OLECTRA,Olectra Greentech Limited,Updates,2022-01-03 13:38:20,"Olectra Greentech Limited has informed the Exchange regarding 'Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015 for Bagging/receiving of order'.",True,,unclear,yes,,unclear
NSE-equities,APLAPOLLO,APL Apollo Tubes Limited,Updates,2024-04-04 18:43:08,"APL Apollo Tubes Limited has informed the Exchange regarding 'The order dated April 3, 2024 passed by  Hon ble Madras High Court, setting aside the Order of the State Tax Officer and remanding back the matter to the said authority for re-consideration. '.",False,,govt,no,,
NSE-equities,WEWIN,WE WIN LIMITED,Copy of Newspaper Publication,2023-08-29 20:51:57,WE WIN LIMITED has informed the Exchange about Copy of Newspaper Publication,False,,unclear,no,,
NSE-equities,SURANASOL,Surana Solar Limited,Updates,2024-06-18 12:18:46,Surana Solar Limited has informed the Exchange regarding 'Receipt of order'.,True,,unclear,yes,,unclear
NSE-sme,APEXECO,Apex Ecotech Limited,Bagging/Receiving of orders/contracts,2025-04-10 15:42:06,Apex Ecotech Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,3IINFOLTD,3i Infotech Limited,Press Release,2023-03-21 23:23:41,"3i Infotech Limited has informed the Exchange regarding a press release dated March 21, 2023, titled ""3i Infotech wins prestigious MVS(Multi-Vendor Services) contract for INR 7.49 Crore from ASPIRe - AS-CFMS"".",True,74900000.0,govt,yes,74900000.0,govt
NSE-equities,NFL,National Fertilizers Limited,Appointment,2022-10-21 17:55:09,"Pursuant to Regulation 30 read with Schedule Ill of SEBI (Listing Obligations and Disclosure Requirements) Regulations. 2015, we are pleased to inform you that Shri Rajan Kanwar has been appointed as an Additional Director [Director (Technical)] on the Board of the Company w.e.f 21.10.2022 in terms of Order No. 82/1/2017-HR PSU-Part (1) dated 21.10.2022 issued by Department of Fertilizers, Ministry of Chemicals & Fertilizers, Government of India (copy of order enclosed).",False,,unclear,no,,
NSE-equities,NTPC,NTPC Limited,General Updates,2025-02-12 18:23:16,"NTPC Limited has informed the Exchange about Signing of Share Purchase Agreement for Acquisition of  Ayana Renewable Power Private Limited  by ONGC NTPC Green (P) Ltd., a JV of NTPC Green Energy Limited (a Subsidiary of NTPC Limited)",False,,unclear,no,,
NSE-equities,GPTINFRA,GPT Infraprojects Limited,Press Release,2023-07-10 12:28:42,"GPT Infraprojects Limited has informed the Exchange regarding a press release dated July 10, 2023, titled ""GPTINFRA Bags Order Valued at 64 Crore"".",True,640000000.0,unclear,yes,640000000.0,unclear
NSE-equities,RUSHABEAR,Rushabh Precision Bearings Limited,Corporate Insolvency Resolution Process,2023-01-06 12:03:43,"Rushabh Precision Bearings Limited has informed the Exchange about Intimation regarding Interim Order passed by Hon ble NCLT, Mumbai Bench on 20th December, 2022 in IA No. 1589 of 2022 in the matter of Section 19 of the Insolvency and Bankruptcy Code, 2016",False,,unclear,no,,
NSE-equities,KPIGREEN,KPI Green Energy Limited,Updates,2025-01-15 14:31:02,KPI Green Energy Limited has informed the Exchange regarding ' regarding receiving of new order for the development of solar power projects with a cumulative capacity of 62.20 MW under the CPP business segment of the Company. Disclosure is attached herewith.'.,True,,unclear,yes,,unclear
NSE-equities,NIITLTD,NIIT Limited,NCLT/ Court Convened Meeting,2022-10-12 21:55:49,"This is in continuation to our earlier letter dated August 30, 2022 informing that the Hon���ble National Company Law Tribunal, Chandigarh Bench (���NCLT���), has vide its Order dated August 29, 2022, inter-alia directed that meeting of the Equity Shareholders, Secured Creditors and Unsecured Creditors of the Company be convened on November 15, 2022 through Video Conferencing to consider/ approve the Scheme.Accordingly, a Meeting of the Equity Shareholders of the Company is scheduled to be held on Tuesday, November 15, 2022 at 10:00 a.m. through video conferencing (""VC"") /  other audio visual means (���OAVM���) for the purpose of their considering, and if thought fit, approving the Scheme.The Notice of the said meeting along with annexures is attached herewith and is also available on the website of the Company at https://www.niit.com/india/training/investors/Pages/Scheme-of-Arrangement-2022.aspx.",False,,unclear,no,,
NSE-equities,ETERNAL,ETERNAL LIMITED,Updates,2024-09-18 18:08:16,"Zomato Limited has informed the exchange regarding order passed by Assistant Commissioner of Revenue, Government of West Bengal.",False,,govt,no,,
NSE-sme,KCEIL,Kay Cee Energy & Infra Limited,Updates,2024-10-17 12:31:34,Kay Cee Energy & Infra Limited has informed the Exchange regarding 'company has been awarded a work order 1) From Rajasthan Rajya Vidyut Prasaran Nigam Limited'.,True,,govt,yes,,govt
NSE-equities,LEMONTREE,Lemon Tree Hotels Limited,Press Release,2021-11-12 17:08:13,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated November 12, 2021, titled ""Signing of License Agreement in Mcleodganj, Himachal Pradesh"".",False,,unclear,no,,
NSE-equities,ASKAUTOLTD,ASK Automotive Limited,Memorandum of Understanding/Agreements,2024-04-24 16:34:36,ASK Automotive Limited has informed the Exchange about execution of Joint Venture Agreement,False,,unclear,no,,
NSE-equities,GLENMARK,Glenmark Pharmaceuticals Limited,Press Release,2022-04-27 15:56:58,Glenmark Pharmaceuticals Limited has informed the Exchange about press release dated 27-Apr-2022 titled Glenmark receives the 'India Pharma Innovation of the Year' Award from the Government of India,False,,unclear,no,,
NSE-equities,BDL,Bharat Dynamics Limited,Bagging orders/contract,2022-05-31 15:50:39,Bharat Dynamics Limited has informed the Exchange about Bagging orders/contract,True,,unclear,yes,,unclear
NSE-equities,NITCO,Nitco Limited,General Updates,2025-04-30 20:11:24,Nitco Limited has informed the Exchange about Intimation of receipt of order from Prestige Estates Projects Limited,True,,private,yes,,private
NSE-equities,KOLTEPATIL,Kolte - Patil Developers Limited,General Updates,2026-06-30 16:44:10,KOLTEPATIL: Kolte - Patil Developers Limited has informed the Exchange about Intimation of early and full redemption of Non-convertible Debentures (secured and unlisted),False,,unclear,no,,
NSE-sme,DYNAMIC,Dynamic Services & Security Limited,Awarding of order(s)/contract(s),2024-10-16 16:19:29,Dynamic Services & Security Limited has informed the Exchange about Awarding of order(s)/contract(s),True,,unclear,yes,,unclear
NSE-equities,IRB,IRB Infrastructure Developers Limited,Updates,2021-12-17 16:21:38,IRB Infrastructure Developers Limited has informed the Exchange regarding 'Receipt of Letter of Award (LOA)'.,True,,unclear,yes,,unclear
NSE-equities,SEPC,SEPC Limited,Bagging/Receiving of orders/contracts,2025-12-29 09:20:57,"We hereby inform the Exchange that pursuant to Regulation 30 of SEBI LODR Regulations, 2015 regarding receipt of purchase order from MOIL Limited with a total order value of Rs. 230 Crores. Detailed letter is enclosed.",True,2300000000.0,govt,yes,2300000000.0,govt
NSE-equities,NBCC,NBCC (India) Limited,Updates,2026-05-15 15:34:52,NBCC (India) Limited has informed the Exchange regarding 'Intimation of Work Orders received by NBCC (India) Limited in the ordinary course of business amounting to Rs. 52.14 Cr. approx.'.,True,521400000.0,unclear,yes,521400000.0,unclear
NSE-sme,GRCL,Gayatri Rubbers And Chemicals Limited,Updates,2025-02-14 14:04:26,Gayatri Rubbers And Chemicals Limited has informed the Exchange regarding ' Gayatri Rubbers And Chemicals Limited has informed the Exchange regarding receipt of work order. '.,True,,unclear,yes,,unclear
NSE-equities,MANINFRA,Man Infraconstruction Limited,Awarding orders/contract,2022-04-13 12:33:21,"Man Infraconstruction Limited has received Letter of Acceptance (LoA) from Bharat Mumbai Container Terminal Private Limited (BMCTPL) for execution of Phase II works at JNPT, Navi Mumbai, Maharashtra being ���Reclamation works- Material Supply��� for Rs. 937.89 Crores.",True,9378900000.0,private,yes,9378900000.0,private
NSE-equities,GVPTECH,GVP Infotech Limited,Updates,2023-12-20 15:41:32,"GVP Infotech Limited has informed the Exchange regarding 'Pursuant to regulation 30 and 30A of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 read with SEBI Circular SEBI/HO/CFD/CFD-PoD-1/P/CIR/2023/123 dated July 13, 2023. We wish to inform regarding Provisional acceptance of e-tender from Bharat Sanchar Nigam Limited (BSNL), for ""outsourcing of maintenance and operations of customer service centers (CSCS) in Raipur BA "". received on 19/12/2023'.",True,,govt,no,,
NSE-equities,MTARTECH,Mtar Technologies Limited,Bagging/Receiving of orders/contracts,2025-11-12 13:23:52,MTAR Technologies Limited has informed the Exchange about Bagging/Receiving of orders/contracts worth Rs. 271.75 Crores.,True,2717500000.0,unclear,yes,2717500000.0,unclear
NSE-sme,MIEL,Manglam Infra & Engineering Limited,Updates,2025-07-26 15:02:45,"Manglam Infra & Engineering Limited has informed the Exchange regarding ' Manglam Infra & Engineering Limited has informed the Exchange regarding receipt of Letter of Acceptance (LOA) from Ministry of Road Transport & Highways (MORT&H), Regional Office, Bhubaneswar.'.",True,,govt,yes,,govt
NSE-equities,SHILPAMED,Shilpa Medicare Limited,General Updates,2025-07-24 18:57:04,"Shilpa Medicare Limited has informed the Exchange about Shilpa Pharma Inc, a wholly owned subsidiary of the Company has agreed to make a strategic investment in the form of SAFE (Simple Agreement for Future Equity) Notes in Alveolus Bio, a biotech startup based out of USA",False,,unclear,no,,
NSE-equities,IRFC,Indian Railway Finance Corporation Limited,Press Release,2025-09-29 18:27:00,"Indian Railway Finance Corporation Limited has informed the Exchange regarding a press release dated September 29, 2025, titled ""Press Release- IRFC signs &#8377;5,929 crore Term Loan Agreement with HPGCL for 800 MW Yamunanagar Project"".",False,,govt,no,,
NSE-sme,AGUL,A G Universal Limited,Updates,2023-08-25 11:19:53,A G Universal Limited has informed the Exchange regarding 'Company has received Purchase Order'.,True,,unclear,yes,,unclear
NSE-sme,ANLON,Anlon Technology Solutions Limited,Bagging/Receiving of orders/contracts,2026-05-04 19:02:20,Anlon Technology Solutions Limited has informed the Exchange about Bagging/Receiving of orders/contracts,True,,unclear,yes,,unclear
NSE-equities,URJA,Urja Global Limited,Clarification,2022-03-22 17:10:52,"The Exchange has sought clarification from Urja Global Limited with respect to announcement dated 22-Mar-2022 informing about Acquisition.On the basis of aforesaid announcement, the Company is required to provide/clarify the following:Acquisition / agreement to acquire 1. Name of the target entity, details in brief such as size, turnover etc; The response of the company is awaited.",False,,unclear,no,,
NSE-equities,FEDDERELEC,Fedders Electric and Engineering Limited,Clarification,2022-08-05 16:10:33,"The Exchange has sought clarification from Fedders Electric and Engineering Limited with respect to announcement dated 05-Aug-2022 informing about Appointment of Director.On the basis of aforesaid announcement, the Company is required to provide/clarify the following: 1. Affirmation that the Director being appointed is not debarred from holding the office of director by virtue of any SEBI order or any other such authority The response of the company is awaited.",False,,unclear,no,,
NSE-sme,VR,V R Infraspace Limited,Updates,2025-05-15 18:46:43,"V R Infraspace Limited has informed the Exchange regarding 'receipt of Work Order from Integrity Infrabuild Developers Limited, in normal course of business.'.",True,,private,yes,,private
NSE-equities,LICI,Life Insurance Corporation Of India,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,2023-03-14 12:48:28,"Pursuant to the Government of India s Notification F. NO. A-11011/11/2022-Ins.I dated 13th March2023, Shri M Jagannath, Zonal Manager (In-Charge), South Central Zone, Hyderabad, has beenappointed as Managing Director, LIC of India vice Shri Raj Kumar with effect from the date ofassumption of charge of the office and upto the date of his superannuation, or until further orders, whichever is earlier. Shri M Jagannath, has taken charge of the position of Managing Director of the Corporation on 13th March 2023.",False,,unclear,no,,
NSE-equities,SOLARINDS,Solar Industries India Limited,Bagging/Receiving of orders/contracts,2026-01-30 21:16:29,Solar Industries India Limited has informed the Exchange about Receipt of export order for Supply of Defence Products of INR 589 Crores,True,5890000000.0,unclear,yes,5890000000.0,unclear
NSE-sme,UNIHEALTH,Unihealth Hospitals Limited,Updates,2025-03-28 16:14:33,"Unihealth Hospitals Limited has informed the Exchange regarding ' Victoria Hospital Limited, Joint Venture of the Company in Uganda has entered into the MOU with the Government of Uganda through the Ministry of Finance, Planning and Economic Development for Corporate Income Tax Holiday for a period of Ten Years wherein the Ministry of Finance, Planning and Economic Development, Goverment of Uganda, shall pay, on behalf of Victoria Hospital Limited, the tax due on the income of Victoria Hospital Limited.'.",False,,unclear,no,,
NSE-sme,DHARARAIL,Dhara Rail Projects Limited,Awarding of order(s)/contract(s),2026-05-22 12:19:07,"Intimation with regards to  Dhara Rail Projects Limited  secured order amounting to 60,87,358.64 (Rupees Sixty Lakh Eighty-Seven Thousand Three Hundred And Fifty-Eight Rupees and Sixty-Four Paise Only) ( including GST) pursuant to Regulation 30 of SEBI (Listing Obligation and Disclosure Requirements) Regulation, 2015.",True,6087358.64,unclear,yes,6087358.0,unclear
NSE-equities,ZAGGLE,Zaggle Prepaid Ocean Services Limited,Updates,2024-04-03 23:08:40,Zaggle Prepaid Ocean Services Limited has informed the Exchange regarding 'Receipt of an Award for Best Digital Expense Management Platform India 2024'.,False,,unclear,no,,
NSE-equities,ASIANTILES,Asian Granito India Limited,Memorandum of Understanding/Agreements,2023-09-25 18:32:27,Asian Granito India Limited has informed the Exchange about Memorandum of Understanding/Agreements,False,,unclear,no,,
NSE-equities,THERMAX,Thermax Limited,Acquisition,2025-08-13 21:30:26,Thermax Limited has informed the Exchange about signing of share purchase agreement with Everenviro Resource Management Private Limited for acquisition of stake in Thermax Bioenergy Solutions Private Limited,False,,private,no,,
NSE-equities,BCLIND,Bcl Industries Limited,Updates,2024-11-27 13:04:19,Bcl Industries Limited has informed the Exchange regarding 'ENA Supply order book'.,False,,unclear,no,,
NSE-equities,PERSISTENT,Persistent Systems Limited,Press Release,2026-06-19 12:31:44,"Persistent Systems Limited has informed the Exchange regarding a press release dated Jun 19, 2026, titled ""Persistent Wins CII Award for Excellence in Disability Inclusion"".",False,,unclear,no,,
NSE-equities,RAILTEL,Railtel Corporation Of India Limited,Updates,2023-12-21 21:45:34,Railtel Corporation Of India Limited has informed the Exchange regarding 'work order from N F Railway Construction'.,True,,govt,yes,,govt
NSE-sme,SRIVASAVI,Srivasavi Adhesive Tapes Limited,Updates,2025-03-03 17:34:04,"Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 for Srivasavi Adhesive Tapes Limited has entered into Non-Disclosure and Confidentiality Agreement with Tata Electronics Private Limited'.",False,,unclear,no,,
NSE-equities,LEMONTREE,Lemon Tree Hotels Limited,Updates,2023-12-28 17:01:10,"Lemon Tree Hotels Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (Listing Obligations & DisclosureRequirements) Regulations, 2015 w.r.t Signing of Franchise Agreement'.",False,,unclear,no,,
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,Updates,2024-08-02 16:14:11,"Sammaan Capital Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures issued by our Company, through Public Issue, and listed on the Stock Exchange.For details refer attachment.",False,,unclear,no,,
NSE-equities,TIMETECHNO,Time Technoplast Limited,General Updates,2026-02-04 09:00:59,"Time Technoplast Limited has informed the Exchange that Power Build Batteries Private Limited, A Subsidiary Of Time Technoplast Limited Enters Business Collaboration And Exclusive Distribution Agreement With Monbat AD, Europe",False,,unclear,no,,
NSE-equities,STEELXIND,STEEL EXCHANGE INDIA LIMITED,Updates,2021-04-30 14:55:09,STEEL EXCHANGE INDIA LIMITED has informed the Exchange regarding 'Payment of interest to holders of Secured Non-Convertible Debentures of the Company'.,False,,unclear,no,,
NSE-equities,MANINFRA,Man Infraconstruction Limited,Awarding orders/contract,2022-04-18 12:37:26,Man Infraconstruction Limited has received one more Letter of Acceptance (LoA) from Bharat Mumbai Container Terminal Private Limited (BMCTPL) for ���Reclamation- Construction Works��� worth Rs. 402 Crores,True,4020000000.0,private,yes,4020000000.0,private
NSE-equities,VENUSREM,Venus Remedies Limited,Updates,2024-04-01 09:19:07,Venus Remedies Limited has informed the Exchange regarding 'Venus Remedies awarded with Rs.2.50 crores as the remaining part of its first incentive under the PLI scheme.'.,False,25000000.0,govt,no,25000000.0,govt
