source,symbol,company,isin,industry,desc,announced_at,attachment_text,pdf_url,is_order_win,order_value_inr,counterparty_type
NSE-equities,SWELECTES,Swelect Energy Systems Limited,INE409B01013,Power,Updates,2024-06-29 12:50:57,Swelect Energy Systems Limited has informed the Exchange regarding ' 1.Amendment of share purchase agreement dated 9.12.2023 2.Divestment of equity shares (9.38%)held by the Company in subsidiary company for group captive purpose'.,https://nsearchives.nseindia.com/corporate/SWELECTES_29062024125057_OUTCOME29062024SESL.pdf,False,,unclear
NSE-equities,SURYAROSNI,Surya Roshni Limited,INE335A01012,Steel And Steel Products,Updates,2024-06-29 11:02:46,Surya Roshni Limited has informed the Exchange regarding 'Received order amounted Rs. 53 crores (with GST)'.,https://nsearchives.nseindia.com/corporate/SURYAROSNI_29062024110246_Receipt_Order_29062024.pdf,True,530000000.0,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-28 20:57:27,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange..For details refer attachment.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_28062024205727_IHFL_Exchange_intimation_57_28062024.pdf,False,,unclear
NSE-equities,ZAGGLE,Zaggle Prepaid Ocean Services Limited,INE07K301024,,Updates,2024-06-28 20:55:00,"Zaggle Prepaid Ocean Services Limited has informed the Exchange regarding 'Receipt of award for ""Best Spend Management System  at 11th Edition Payments Industry Awards by KamiKaze B2B Media.'.",https://nsearchives.nseindia.com/corporate/ZAGGLE_28062024205500_SEIntimationspendmanagementsystem42.pdf,False,,unclear
NSE-equities,GVPIL,GE Power India Limited,INE878A01011,,Updates,2024-06-28 20:54:18,GE Power India Limited has informed the Exchange regarding 'Bagging of Contract '.,https://nsearchives.nseindia.com/corporate/GEPIL_28062024205419_II.pdf,True,,unclear
NSE-equities,ZAGGLE,Zaggle Prepaid Ocean Services Limited,INE07K301024,,Updates,2024-06-28 20:47:22,Zaggle Prepaid Ocean Services Limited has informed the Exchange regarding 'Receipt of award for Best Cards Initiative for Zaggle ZatiX  at 11th Edition Payments Industry Awards by KamiKaze B2B Media'.,https://nsearchives.nseindia.com/corporate/ZAGGLE_28062024204722_SEIntimationBestcardsinitiative41.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-28 20:42:42,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest and principal in respect of the following Secured Redeemable Non-Convertible Debentures, Unsecured Non-Convertible Subordinated Debt in the nature of Debentures and Unsecured Redeemable Non-Convertible Debentures, issued by our Company, on private placement basis'.For details refer attachment",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_28062024204242_IHFL_Exchange_intimation_57_28062024.pdf,False,,unclear
NSE-equities,NORBTEAEXP,Norben Tea & Exports Limited,INE369C01017,Tea And Coffee,Updates,2024-06-28 20:06:16,"Norben Tea & Exports Limited has informed the Exchange regarding 'SEBI Order dated 28th June, 2024 received by the Company'.",https://nsearchives.nseindia.com/corporate/NORBTEAEXP_28062024200616_IntimationUnderRegulation30Signed.pdf,False,,unclear
NSE-equities,TRU,TruCap Finance Limited,INE615R01029,,Allotment of Securities,2024-06-28 19:23:11,"TruCap Finance Limited has informed the Exchange regarding allotment of 500 secured, United States Dollar denominated bonds having face value of USD 10,000 each aggregating upto USD 5,000,000 (United States Dollar Five Million only) on private placement basis.",https://nsearchives.nseindia.com/corporate/TRU_28062024192311_OutcomeofFinanceCommitteeAllotmentofNCDsFinal.pdf,False,,unclear
NSE-equities,ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,,Press Release,2024-06-28 17:30:32,"Zydus Lifesciences Limited has informed the Exchange regarding a press release dated Jun 28, 2024, titled ""Zydus and Dr. Reddy s announce licensing agreement for co-marketing of Pertuzumab biosimilar, a critical treatment for breast cancer patients in India"".",https://nsearchives.nseindia.com/corporate/ZYDUSLIFE_28062024173032_PR28062024.pdf,False,,unclear
NSE-equities,JSWENERGY,JSW Energy Limited,INE121E01018,Power,Updates,2024-06-28 16:45:58,JSW Energy Limited has informed the Exchange regarding 'Letter of Award from SJVN Limited for 300 MW Wind-Solar Hybrid Power Projects'.,https://nsearchives.nseindia.com/corporate/JSWENERGY_28062024164559_LettertoNSEBSESJVN300MW.pdf,True,,govt
NSE-equities,TITAN,Titan Company Limited,INE280A01010,Gems Jewellery And Watches,Memorandum of Understanding/Agreements,2024-06-28 16:45:17,Titan Company Limited has informed the Exchange that the Company executed a Joint Venture Agreement with Rhythm Jewelry Limited.,https://nsearchives.nseindia.com/corporate/TITAN_28062024164517_SEIntimationforJVBangladesh.pdf,False,,unclear
NSE-equities,SHK,S H Kelkar and Company Limited,INE500L01026,,Updates,2024-06-28 16:25:56,S H Kelkar and Company Limited has informed the Exchange regarding 'execution of Option Agreement by Keva Italy S.r.l with Mr. Andrea Casotti for 2% of CFF shares',https://nsearchives.nseindia.com/corporate/SHK_28062024162556_Reg30AndreaOptionAgreement2024.pdf,False,,unclear
NSE-equities,SOUTHWEST,South West Pinnacle Exploration Limited,INE980Y01015,,Updates,2024-06-28 16:23:11,South West Pinnacle Exploration Limited has informed the Exchange regarding 'Announcement on receipt of Work Order from JK Cement Ltd'.,https://nsearchives.nseindia.com/corporate/SOUTHWEST_28062024162311_Workorder.pdf,True,,private
NSE-equities,ACC,ACC Limited,INE012A01025,Cement And Cement Products,Updates,2024-06-28 15:58:53,"ACC Limited has informed the Exchange regarding 'ACC Limited has informed the Exchange regarding Disclosure under Regulation 30 of the SEBI (LODR) Regulation 2015 - Order received from the Joint Commissioner of Central Tax, GST Commissionerate.'.",https://nsearchives.nseindia.com/corporate/ACC_28062024155853_CoverLetterGSTPenalty_Final.pdf,False,,unclear
NSE-equities,LICI,Life Insurance Corporation Of India,INE0J1Y01017,,Updates,2024-06-28 15:52:56,"'This is to inform that the Life Insurance Corporation of India ( the Corporation ) has received communication/ demand order for Goods & Service Tax, Interest and penalty for West Bengal State. The order is appealable before the Commissioner (Appeals), West Bengal.'.",https://nsearchives.nseindia.com/corporate/LICI_28062024155256_GST_Penalty_WestBengal.pdf,False,,unclear
NSE-equities,COCHINSHIP,Cochin Shipyard Limited,INE704P01017,,Updates,2024-06-28 15:29:19,"Cochin Shipyard Limited has informed the Exchange regarding 'UCSL, a wholly owned subsidiary of CSL, secured an international order for construction of 4+4 nos. of 6300 TDW Dry Cargo Vessels.'.",https://nsearchives.nseindia.com/corporate/COCHINSHIP_28062024152919_SEIntimationWilsonSd.pdf,True,,unclear
NSE-equities,BEL,Bharat Electronics Limited,INE263A01016,Electronics - Industrial,Press Release,2024-06-28 15:28:58,"Bharat Electronics Limited has informed the Exchange regarding a press release dated Jun 28, 2024, titled ""BEL receives orders worth Rs.3,172 Crores"".",https://nsearchives.nseindia.com/corporate/BEL_28062024152858_SignedNSE.pdf,True,31720000000.0,unclear
NSE-equities,IMFA,Indian Metals & Ferro Alloys Limited,INE919H01018,Metals,Updates,2024-06-28 15:22:09,"Indian Metals & Ferro Alloys Limited has informed the Exchange regarding 'Order from Regional Director, Eastern Region, Ministry of Corporate Affairs, in the matter of Compounding of Offences under the Companies Act, 2013.'.",https://nsearchives.nseindia.com/corporate/IMFA_28062024152209_Order_from_Regional_Director.pdf,False,,unclear
NSE-equities,IMFA,Indian Metals & Ferro Alloys Limited,INE919H01018,Metals,Updates,2024-06-28 15:07:11,"Indian Metals & Ferro Alloys Limited has informed the Exchange regarding 'Order from Regional Director, Eastern Region, Ministry of Corporate Affairs, in the matter of Compounding ofOffences under the Companies Act, 2013.'.",https://nsearchives.nseindia.com/corporate/IMFA_28062024150711_Order_from_Regional_Director.pdf,False,,unclear
NSE-equities,HCG,Healthcare Global Enterprises Limited,INE075I01017,,Memorandum of Understanding/Agreements,2024-06-28 12:59:29,"Healthcare Global Enterprises Limited has informed the Exchange about execution of Shareholders Agreement by and between HealthCare Global Enterprises Limited, Vizag Hospital and its Continuing Shareholders",https://nsearchives.nseindia.com/corporate/HCG_28062024125929_SeIntimationAcquisitionVizagHospital28June2024.pdf,False,,unclear
NSE-equities,HCG,Healthcare Global Enterprises Limited,INE075I01017,,Acquisition,2024-06-28 12:49:45,Healthcare Global Enterprises Limited has informed the Exchange about execution of (i) Share Purchase Agreement for the acquisition of shares of Vizag Hospital and Cancer Research Centre Private Limited ( Vizag Hospital ) by HealthCare Global Enterprises Limited from the Selling Shareholders,https://nsearchives.nseindia.com/corporate/HCG_28062024124945_SeIntimationAcquisitionVizagHospital28June2024.pdf,False,,unclear
NSE-equities,NPST,Network People Services Technologies Limited,INE0FFK01017,,Updates,2024-06-28 12:36:17,"Network People Services Technologies Limited has informed the Exchange regarding 'winning the Best Technology Service Provider award and Best Digital PaymentPlatform award for EvoK PPaaS at the 11th Edition of thePayments Industry Awards 2024, organized by Kamikaze B2B Media'.",https://nsearchives.nseindia.com/corporate/NPST_28062024123617_NSEIntimation28062024signed.pdf,False,,unclear
NSE-equities,INTELLECT,Intellect Design Arena Limited,INE306R01017,,Press Release,2024-06-28 12:32:44,"Intellect Design Arena Limited has informed the Exchange regarding a press release dated Jun 28, 2024, titled ""Intellect recognised as a finalist of the 2024 Microsoft Financial Services Award Partner of the Year"".",https://nsearchives.nseindia.com/corporate/INTELLECT_28062024123244_IntimationofPRdated28062024.pdf,False,,unclear
NSE-equities,AETHER,Aether Industries Limited,INE0BWX01014,,Updates,2024-06-28 09:04:54,"In accordance with Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we herewith submit the details of the execution of the Strategic Supply Agreement (of which the counter-signed document we received now), as annexed.",https://nsearchives.nseindia.com/corporate/AETHER_28062024090454_19BH.pdf,False,,unclear
NSE-equities,VEDL,Vedanta Limited,INE205A01025,,Updates,2024-06-27 19:45:57,Vedanta Limited has informed the Exchange regarding 'Payment of Interest due on Secured Redeemable Non-Convertible Debentures'.,https://nsearchives.nseindia.com/corporate/VEDL_27062024194557_VEDLCertificationofInterestPayment27Jun2024signed.pdf,False,,unclear
NSE-equities,JSWINFRA,JSW Infrastructure Limited,INE880J01026,,Updates,2024-06-27 19:32:10,"JSW Infrastructure Limited has informed the Exchange regarding 'Letter of Acceptance for  Contract for Construction & Operation of Gati Shakti Multi-Modal Cargo Terminal (GCT)  at Arakkonam, Chennai, Tamil Nadu'.",https://nsearchives.nseindia.com/corporate/JSWINFRA_27062024193211_SEIntimationReg30LOAGCT.pdf,True,,govt
NSE-equities,BHEL,Bharat Heavy Electricals Limited,INE257A01018,Electrical Equipment,Updates,2024-06-27 19:07:13,"Bharat Heavy Electricals Limited has informed the Exchange regarding 'Order for penalty from the office of the Additional Director General of Foreign Trade, Bengaluru'.",https://nsearchives.nseindia.com/corporate/BHEL_27062024190713_StockInfo.pdf,False,,unclear
NSE-equities,NESTLEIND,Nestle India Limited,INE239A01016,Food And Food Processing,Updates,2024-06-27 17:26:31,"Nestle India Limited has informed the Exchange regarding 'Regulation 30 and Schedule III of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations ): Intimation regarding receipt of an Order from Customs Department Coochbehar in relation to short payment of Customs duty'.",https://nsearchives.nseindia.com/corporate/NESTLEIND_27062024172631_BSENSEREG3027062024SIGNED.pdf,False,,unclear
NSE-equities,SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01028,Pharmaceuticals,Updates,2024-06-27 17:05:11,"Sun Pharmaceutical Industries Limited has informed the Exchange regarding 'Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements)Regulations, 2015   Regulatory Order'.",https://nsearchives.nseindia.com/corporate/SUNPHARMA_27062024170511_SEIntimationforregulatoryorder.pdf,False,,unclear
NSE-equities,SUMEETINDS,Sumeet Industries Limited,INE235C01010,Textile Products,Corporate Insolvency Resolution Process,2024-06-27 15:41:43,Sumeet Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process regarding update on order of Hon'ble NCLT and Intimation for next date of hearing for Resolution Plan,https://nsearchives.nseindia.com/corporate/SUMEETINDS_27062024154143_CIRPUPDATE27062024.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-27 12:27:53,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details,  refer attachment.'.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_27062024122753_IHFL_Exchange_intimation_57_27062024.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-27 12:10:04,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-Convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details,  refer attachment.'.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_27062024121004_IHFL_Exchange_intimation_57_27062024.pdf,False,,unclear
NSE-equities,WEWIN,WE WIN LIMITED,INE082W01014,,Updates,2024-06-27 11:13:48,"WE WIN LIMITED has informed the Exchange regarding 'Intimation under Regulation 57(4) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/WEWIN_27062024111348_Regulation57.pdf,False,,unclear
NSE-equities,TRF,TRF Limited,INE391D01019,Engineering,Updates,2024-06-26 23:48:57,"TRF Limited has informed the Exchange regarding 'Update on NCLT Order on Issuance of non-cumulative, non-participating, redeemable preference shares ( NCRPS ) in lieu of redemption of existing non-cumulative, optionally-convertible, non-participating, redeemable preference shares ( OCRPS ) '.",https://nsearchives.nseindia.com/corporate/TRF_26062024234857_TRFReg30Disclosure_NCLT_PrononcementofOrderOCRPS.pdf,False,,unclear
NSE-equities,RAMKY,Ramky Infrastructure Limited,INE874I01013,Construction,Updates,2024-06-26 19:17:47,Ramky Infrastructure Limited has informed the Exchange regarding 'Revised intimation of the Receipt of Notification of Award from PowerGrid Energy Services Limited '.,https://nsearchives.nseindia.com/corporate/RAMKY_26062024191747_RevisedIntimationPowerGridEnergySigned.pdf,True,,govt
NSE-equities,JSWENERGY,JSW Energy Limited,INE121E01018,Power,Updates,2024-06-26 19:12:11,JSW Energy Limited has informed the Exchange regarding 'Power Purchase Agreements with Solar Energy Corporation of India Limited and Gujarat Urja Vikas Nigam Limited'.,https://nsearchives.nseindia.com/corporate/JSWENERGY_26062024191211_LettertoBSEandNSESECIandGUVNLPPA.pdf,False,,govt
NSE-equities,EMSLIMITED,EMS Limited,INE0OV601013,,Updates,2024-06-26 18:49:40,"Ems Limited has informed the Exchange regarding 'Intimation of receipt a letter of award from the office of the Superintending Engineer, U.P. Jal Nigam (Rural), Agra'.",https://nsearchives.nseindia.com/corporate/EMSLIMITED_26062024184940_nse.pdf,True,,govt
NSE-equities,SUPREMEIND,Supreme Industries Limited,INE195A01010,Plastic And Plastic Products,Updates,2024-06-26 18:31:29,Supreme Industries Limited has informed the Exchange regarding 'Letter of Acceptance (LOA) received from INDIAN OIL CORPORATION LIMITED (IOCL) against our offer through Tender for supply of 10 kg Composite LPG Cylinders'.,https://nsearchives.nseindia.com/corporate/SUPREMEIND_26062024183129_LetteraddresstoStockExchagesDt26042024cylinder.pdf,True,,govt
NSE-equities,SJVN,SJVN Limited,INE002L01015,Power,Press Release,2024-06-26 17:53:03,"SJVN Limited has informed the Exchange regarding a press release dated Jun 26, 2024, titled ""SJVN inks an MOU with AM Ammonia (India) Private Limited"".",https://nsearchives.nseindia.com/corporate/SJVN_26062024175304_2.pdf,False,,unclear
NSE-equities,KEC,KEC International Limited,INE389H01014,Transmission Towers,Press Release,2024-06-26 17:52:07,"KEC International Limited has informed the Exchange regarding a press release dated Jun 26, 2024, titled ""KEC International wins New Orders of Rs. 1,025 crores"".",https://nsearchives.nseindia.com/corporate/KEC_26062024175207_PressRelease.pdf,True,10250000000.0,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-26 17:32:07,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details,  refer attachment.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_26062024173207_IHFL_Exchange_intimation_57_26062024.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-26 17:08:10,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-Convertible Debentures and Unsecured Redeemable Non-Convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details, refer attachment.'.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_26062024170810_IHFL_Exchange_intimation_57_26062024.pdf,False,,unclear
NSE-equities,ASTEC,Astec LifeSciences Limited,INE563J01010,Pesticides And Agrochemicals,Updates,2024-06-26 17:03:11,"Astec LifeSciences Limited has informed the Exchange regarding 'Update on Family Settlement Agreement dated April 30, 2024, under Regulations 30 and 30(7) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/ASTEC_26062024170311_ASTECBSENSE26062024.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-26 16:57:55,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'ursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures issued by our Company, through Public Issue, and listed on the Stock Exchange.For details refer attachment.'.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_26062024165755_IHFL_Exchange_intimation_57_26062024.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-26 16:46:51,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details, refer attachment.'.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_26062024164651_IHFL_Exchange_intimation_57_26062024.pdf,False,,unclear
NSE-equities,RAMKY,Ramky Infrastructure Limited,INE874I01013,Construction,Updates,2024-06-26 16:46:16,"Ramky Infrastructure Limited has informed the Exchange regarding 'Receipt of Notification of Award'.We are pleased to inform that the company has received Notification of Awards (NOA) from PowerGrid Energy Services Limited, (a wholly owned subsidiary of Power Grid Corporation of India Limited) for  Supply of Plant Contract (Contract Part I)  and  Supply of Installation Services Contract (Contract Part II)  for  Loss Reduction work under Results-linked, Distribution Sector Scheme (RDSS) in Leh District under Implementation of Distribution of Infrastructure works of Ladakh Power Development Department (LPDD) under RDSS in the Districts of Leh & Kargil of UT of Ladakh .",https://nsearchives.nseindia.com/corporate/RAMKY_26062024164616_IntimationPowerGridSigned.pdf,True,,govt
NSE-equities,ASTEC,Astec LifeSciences Limited,INE563J01010,Pesticides And Agrochemicals,Updates,2024-06-26 16:41:15,"Astec LifeSciences Limited has informed the Exchange regarding 'Update on Family Settlement Agreement dated April 30, 2024, under Regulations 30 and 30(7) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/ASTEC_26062024164115_ASTECBSENSE26062024.pdf,False,,unclear
NSE-equities,CEMPRO,Cemindia Projects Limited,INE686A01026,,Press Release,2024-06-26 16:31:06,"ITD Cementation India Limited has informed the Exchange regarding a press release dated Jun 26, 2024, titled ""ITD Cementation India Limited Secured New Marine Contract Worth ~ Rs 1,082 Crore including taxes and duties"".",https://nsearchives.nseindia.com/corporate/ITDCEM_26062024163106_Stock_Exchange_intimation.pdf,True,10820000000.0,unclear
NSE-equities,GODREJCP,Godrej Consumer Products Limited,INE102D01028,Personal Care,Updates,2024-06-26 16:26:50,"Godrej Consumer Products Limited has informed the Exchange regarding 'Update on Family Settlement Agreement dated April 30, 2024, under Regulations 30 and 30(7) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/GODREJCP_26062024162650_GCPLintimation_June26.pdf,False,,unclear
NSE-equities,SAMMAANCAP,Sammaan Capital Limited,INE148I01020,,Updates,2024-06-26 16:26:12,"Indiabulls Housing Finance Limited has informed the Exchange regarding 'Pursuant to Regulations 30 and 57 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby certify that our Company has made timely payment of interest in respect of the following Secured Redeemable Non-convertible Debentures, issued by our Company, through Public Issue, and listed on the Stock Exchange.For details, refer attachment.'.",https://nsearchives.nseindia.com/corporate/IBULHSGFIN_26062024162612_IHFL_Exchange_intimation_57_26062024.pdf,False,,unclear
NSE-equities,GODREJPROP,Godrej Properties Limited,INE484J01019,Construction,Updates,2024-06-26 16:09:38,"Godrej Properties Limited has informed the Exchange regarding 'Update on Family Settlement Agreement dated April 30, 2024, under Regulations 30 and 30(7) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/GODREJPROP_26062024160938_SEIntimation26062024.pdf,False,,unclear
NSE-equities,GODREJAGRO,Godrej Agrovet Limited,INE850D01014,,Updates,2024-06-26 15:59:34,"Godrej Agrovet Limited has informed the Exchange regarding 'Update on Family Settlement Agreement dated April 30, 2024, under Regulations 30 and 30(7) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/GODREJAGRO_26062024155934_BSENSEINTIMATIONUPDATEONFSA26062024.pdf,False,,unclear
NSE-equities,SHAKTIPUMP,Shakti Pumps (India) Limited,INE908D01010,Electronics - Industrial,Updates,2024-06-26 15:41:17,"Shakti Pumps (India) Limited has informed the Exchange regarding 'Pursuant to Regulation 30 of SEBI (LODR) Regulations, 2015, Company has received Disclosures from the Trust(s) as per Exemption order dated November 30, 2023 issued by SEBI.",https://nsearchives.nseindia.com/corporate/SHAKTIPUMP_26062024154117_IntimationofComplianceCertificate260624.pdf,False,,unclear
NSE-equities,GODREJIND,Godrej Industries Limited,INE233A01035,Chemicals - Inorganic,Updates,2024-06-26 15:13:49,"Godrej Industries Limited has informed the Exchange regarding 'Update on Family Settlement Agreement dated April 30, 2024, under Regulations 30 and 30(7) of SEBI (LODR) Regulations, 2015'.",https://nsearchives.nseindia.com/corporate/GODREJIND_26062024151349_BSENSEFSA26JUNE2024F.pdf,False,,unclear
