source,symbol,company,isin,industry,desc,announced_at,attachment_text,pdf_url,is_order_win,order_value_inr,counterparty_type,t0,t0_pos
NSE-equities,AARVI,Aarvi Encon Limited,INE754X01016,,Bagging/Receiving of orders/contracts,2026-01-07 14:54:32,Aarvi Encon Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/AARVI_07012026145414_NSE20252634WorkOrderBECHTEL.pdf,True,,unclear,2026-01-07,1394
NSE-equities,AARVI,Aarvi Encon Limited,INE754X01016,,Bagging/Receiving of orders/contracts,2026-04-14 16:24:07,Aarvi Encon Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/AARVI_14042026162350_NSE20262703_Work_Order_Intimation.pdf,True,,unclear,2026-04-15,1458
NSE-equities,ABAN,Aban Offshore Limited,INE421A01028,Oil Exploration/Production,Updates,2021-11-17 11:32:22,Aban Offshore Limited has informed the Exchange regarding 'AWARD OF CONTRACT'.,https://nsearchives.nseindia.com/corporate/ABAN_17112021113222_SE17112021.pdf,True,,unclear,2021-11-17,367
NSE-equities,ABAN,Aban Offshore Limited,INE421A01028,Oil Exploration/Production,Awarding orders/contract,2022-07-28 15:37:06,Aban Offshore Limited has informed the Exchange about Awarding orders/contract for Jack-up Rig Aban III,https://nsearchives.nseindia.com/corporate/ABAN_28072022153706_SE28072022.pdf,True,,unclear,2022-07-29,542
NSE-equities,ABB,ABB India Limited,INE117A01022,Electrical Equipment,Press Release,2023-06-30 11:50:10,"ABB India Limited has informed the Exchange regarding a press release dated Jun 30, 2023, titled ""ABB India awarded electrification andautomation contract for ArcelorMittalNippon Steel (AMNS) India s newadvanced cold rolling mill"".",https://nsearchives.nseindia.com/corporate/ABB_30062023115010_PressReleaseJune302023.pdf,True,,private,2023-06-30,766
NSE-equities,ABDL,Allied Blenders and Distillers Limited,INE552Z01027,,General Updates,2026-05-06 15:46:26,Allied Blenders and Distillers Limited has informed the Exchange about LOI- Andhra Pradesh,https://nsearchives.nseindia.com/corporate/ABDINDIA_06052026154615_SE_Intimation_sd.pdf,True,,govt,2026-05-07,1473
NSE-sme,ABHAPOWER,Abha Power and Steel Limited,,,Press Release,2026-01-29 13:02:25,"Abha Power and Steel Limited has informed the Exchange regarding a press release dated January 29, 2026, titled ""Abha Power and Steel Limited (NSE Emerge: ABHAPOWER) is pleased to announce that the Company has secured a new order worth &#8377; 91.76 Lacs from a reputed Heavy Industries OEM."".",https://nsearchives.nseindia.com/corporate/ABHA_29012026130218_ABHA_POWER_PRESS_RELEASE_DSC.pdf,True,9176000.0,private,2026-01-29,1408
NSE-sme,ABHAPOWER,Abha Power and Steel Limited,,,Press Release,2026-05-19 17:49:48,"Abha Power and Steel Limited has informed the Exchange regarding a press release dated May 19, 2026, titled ""Abha Power and Steel Limited (NSE Emerge: ABHAPOWER) is pleased to announce that the Company has secured new order worth &#8377; 4.92 Crores from reputed Railway OEM."".",https://nsearchives.nseindia.com/corporate/ABHA_19052026174930_PRESS_RELEASE.pdf,True,49200000.0,unclear,2026-05-20,1482
NSE-equities,ABINFRA,A B Infrabuild Limited,INE00YB01017,,Updates,2023-02-13 17:38:44,A B Infrabuild Limited has informed the Exchange regarding 'Receipt of Work Order from Brihanmumbai Municipal Corporation for Reconstruction of Gopal Krishna Gokhale Bridge at Andheri'.,https://nsearchives.nseindia.com/corporate/ABINFRA_13022023173844_NSE_IntimationForTender_signed.pdf,True,,govt,2023-02-14,677
NSE-equities,ABINFRA,A B Infrabuild Limited,INE00YB01017,,Awarding of order(s)/contract(s),2026-01-06 16:03:44,A B Infrabuild Limited has informed the Exchange about Awarding of order(s)/contract(s),https://nsearchives.nseindia.com/corporate/ABINFRA_06012026160334_Intimation.pdf,True,,unclear,2026-01-07,1394
NSE-sme,ABSMARINE,ABS Marine Services Limited,,,Bagging/Receiving of orders/contracts,2026-06-19 16:55:57,ABS Marine Services Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/ABSMARINE_19062026165449_Intimationfornewcontract.pdf,True,,unclear,2026-06-22,1504
NSE-equities,ACE,Action Construction Equipment Limited,INE731H01025,Electrical Equipment,General updates,2022-06-20 12:59:26,"Action Construction Equipment Limited has informed the Exchange about Action Construction Equipment Limited (ACE) awarded a Strategic Contract by Republic of Ghana, secured with a line of credit through Exim Bank of India.",https://nsearchives.nseindia.com/corporate/ACE_20062022125926_Disclosure_Ghana_project_ACEffff20062022.pdf,True,,govt,2022-06-20,513
NSE-equities,ACE,Action Construction Equipment Limited,INE731H01025,Electrical Equipment,Updates,2023-01-12 14:32:04,"Action Construction Equipment Limited has informed the Exchange regarding 'Order for supply of the cranes from Ministry of Defence (MoD), DRDO'.",https://nsearchives.nseindia.com/corporate/ACE_12012023143204_Disclosure_order_ACE_12012023fff.pdf,True,,govt,2023-01-12,655
NSE-equities,ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,,Bagging/Receiving of orders/contracts,2026-02-10 08:44:43,Acme Solar Holdings Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/ACME122002_10022026084102_Intimation_10022026.pdf,True,,unclear,2026-02-10,1417
NSE-equities,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,,Press Release,2021-12-24 18:39:39,"Adani Transmission Limited has informed the Exchange regarding a press release dated December 24, 2021, titled ""Adani Transmission awarded 400 kV Karur Transmission Project forevacuation of renewable power"".",https://nsearchives.nseindia.com/corporate/ADANITRANS_24122021183937_Karur.pdf,True,,govt,2021-12-27,394
NSE-equities,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,,Press Release,2023-12-27 01:24:28,"Adani Energy Solutions Limited has informed the Exchange regarding a press release dated December 27, 2023, titled ""Adani Energy Solutions Awarded 7 GW Renewable EnergyEvacuation Transmission Network in National Grid Evacuation"".",https://nsearchives.nseindia.com/corporate/ADANIENSOL_27122023012428_AESLHALVADPRESSRELEASE.pdf,True,,unclear,2023-12-27,889
NSE-equities,ADANIENT,Adani Enterprises Limited,INE423A01024,Trading,Updates,2021-01-14 11:53:23,Adani Enterprises Limited has informed the Exchange regarding 'Receipt of Letter of Award (LOA) from National Highways Authority of India (NHAI) '.,https://nsearchives.nseindia.com/corporate/ADANIENT_14012021115323_120.pdf,True,,govt,2021-01-14,160
NSE-equities,ADANIENT,Adani Enterprises Limited,INE423A01024,Trading,Updates,2021-09-08 21:09:45,"Adani Enterprises Limited has informed the Exchange regarding 'Declaration of Successful Bidder in the tender invited by NominatedAuthority, Ministry of Coal, Government of India'.",https://nsearchives.nseindia.com/corporate/ADANIENT_08092021210945_AELSuccessfulBidder.pdf,True,,govt,2021-09-09,321
NSE-equities,ADANIENT,Adani Enterprises Limited,INE423A01024,Trading,General updates,2022-03-31 15:29:16,Adani Enterprises Limited has informed the Exchange about Receipt of Letter of Award (LOA) from National Highways Authority of India (NHAI),https://nsearchives.nseindia.com/corporate/ADANIENT_31032022152747_LOI.pdf,True,,govt,2022-03-31,459
NSE-equities,ADANIENT,Adani Enterprises Limited,INE423A01024,Trading,Updates,2023-02-28 19:20:15,Adani Enterprises Limited has informed the Exchange regarding 'Receipt of Letter of intent in respect of Kutrumali Bauxite Block inOdisha'.,https://nsearchives.nseindia.com/corporate/ADANIENT_28022023192015_Kutrumalblock.pdf,True,,govt,2023-03-01,688
NSE-equities,ADANIGREEN,Adani Green Energy Limited,INE364U01010,,Press Release,2021-01-01 17:06:29,"Adani Green Energy Limited has informed the Exchange regarding a press release dated January 01, 2021, titled ""AGEL receives LOA for 600 MW Wind-Solar Hybrid Power Project"".",https://nsearchives.nseindia.com/corporate/ADANIGREEN_01012021170629_Release.pdf,True,,unclear,2021-01-04,152
NSE-equities,ADANIGREEN,Adani Green Energy Limited,INE364U01010,,Updates,2021-04-17 10:48:52,Adani Green Energy Limited has informed the Exchange regarding 'Letter of Award for 150 MW Solar power project'.,https://nsearchives.nseindia.com/corporate/ADANIGREEN_17042021104852_LOA.pdf,True,,unclear,2021-04-19,222
NSE-equities,ADANIGREEN,Adani Green Energy Limited,INE364U01010,,Updates,2021-10-22 10:33:16,Adani Green Energy Limited has informed the Exchange regarding 'Letter of Award (LOA) from SECI to set-up 450 MW Wind Power Project'.,https://nsearchives.nseindia.com/corporate/ADANIGREEN_22102021103316_Letters.pdf,True,,govt,2021-10-22,350
NSE-equities,ADANIGREEN,Adani Green Energy Limited,INE364U01010,,Disclosure of other UPSI/material event,2022-03-02 10:35:24,"Adani Green Energy Limited has informed the Exchange about Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosures Requirements) Regulations, 2015 - Letter of Award",https://nsearchives.nseindia.com/corporate/ADANIGREEN_02032022101146_Letter.pdf,True,,unclear,2022-03-02,439
NSE-equities,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Shipping,Press Release,2022-07-15 11:53:24,Adani Ports and Special Economic Zone Limited has informed the Exchange about press release dated 15-Jul-2022 titled  ���Adani and Gadot win tender to privatise Israel���s Haifa Port���.,https://nsearchives.nseindia.com/corporate/ADANIPORTS_15072022115324_SEintimation.pdf,True,,govt,2022-07-15,532
NSE-equities,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Shipping,Press Release,2022-10-14 18:41:03,Adani Ports and Special Economic Zone Limited has informed the Exchange about press release dated 14-Oct-2022 titled ���Adani Agri Logistics secures LoA from FCI for Silo Complexes.���,https://nsearchives.nseindia.com/corporate/ADANIPORTS_14102022184103_PressRelease.pdf,True,,govt,2022-10-17,594
NSE-equities,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Shipping,Updates,2024-06-07 09:12:10,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Intimation of receipt of letter of intent for operation and maintenance of container terminal at Kolkata Port'.,https://nsearchives.nseindia.com/corporate/ADANIPORTS_07062024091210_SEIntimation.pdf,True,,govt,2024-06-07,1000
NSE-equities,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Shipping,Updates,2026-05-12 16:07:59,"Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Media Release regarding  APSEZ s marine arm, AstroOffshore in contract with Oceaneering International Inc., for European SubseaExpansion. '.",https://nsearchives.nseindia.com/corporate/rkbhagia_12052026160738_SEINTIMATION.pdf,True,,private,2026-05-13,1477
NSE-equities,ADANIPOWER,Adani Power Limited,INE814H01011,Power,Bagging/Receiving of orders/contracts,2026-03-15 16:16:51,Adani Power Limited has informed the Exchange about Receipt of Letter of Award for the long-term supply of 1600 MW Thermal Power,https://nsearchives.nseindia.com/corporate/ADANIPOWER_15032026161641_APLLoAfromMSEDCL15032026.pdf,True,,unclear,2026-03-16,1440
NSE-equities,ADOR,Ador Welding Limited,INE045A01017,,Awarding orders/contract,2022-07-20 18:24:00,"Ador Welding Limited has informed the Exchange about Awarding orders/contract In compliance with Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 read with circular no. CIR/CFD/CMD/4/2015 dated 09th September, 2015, we are pleased to inform that, the Company has received a Letter of Award (LOA) from ONGC, Uran.",https://nsearchives.nseindia.com/corporate/ADORWELD_20072022182400_Reg30.pdf,True,,govt,2022-07-21,536
NSE-equities,ADROITINFO,Adroit Infotech Limited,INE737B01033,,Press Release,2024-06-05 14:34:32,"Adroit Infotech Limited has informed the Exchange regarding a press release dated Jun 05, 2024, titled """"VERSO ALTIMA INDIA PVT LIMITED (Subsidiary ofADROIT INFOTECH LIMITED) bags order worth Rs. 2.54 Crores from Asianet SatelliteCommunications Limited."".",https://nsearchives.nseindia.com/corporate/ADROITINFO_05062024143433_AnnouncementReg30PressRelease.pdf,True,25400000.0,private,2024-06-05,998
NSE-equities,ADROITINFO,Adroit Infotech Limited,INE737B01033,,Updates,2026-04-28 17:49:53,Adroit Infotech Limited has informed the Exchange regarding ' VERSO ALTIMA INDIA PVT LIMITED  (Subsidiary ofAdroit Infotech Limited) has received an order valued at INR 23.0 Millions from PT SUPRAPRIMATAMA NUSANTARA for SAP BRIM - MANAGED SERVICES '.,https://nsearchives.nseindia.com/corporate/ADROITINFO_28042026174947_DisclosureIntimationReg30PressReleasePTSupra.pdf,True,23000000.0,private,2026-04-29,1468
NSE-equities,ADSL,Allied Digital Services Limited,INE102I01027,Computers - Hardware,Press Release,2021-08-25 12:14:07,"Allied Digital Services Limited has informed the Exchange regarding a press release dated August 25, 2021, titled ""Allied Digital Services Limited is proud to inform that the company has won a Six year contract valued at USD 88 million (INR 650 Crores) pure services business to transform IT operating model and infrastructure landscape across workplace management, for a global automotive giant."".",https://nsearchives.nseindia.com/corporate/ADSL_25082021121407_PressRelease.pdf,True,6500000000.0,private,2021-08-25,310
NSE-equities,ADVAIT,Advait Energy Transitions Limited,INE0ALI01010,,Bagging/Receiving of orders/contracts,2026-02-04 16:02:20,Advait Energy Transitions Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/ADVAITENERGY_04022026160037_SEintimationorder04022026s.pdf,True,,unclear,2026-02-05,1414
NSE-equities,ADVANCE,Advance Agrolife Limited,INE1B0W01010,,Bagging/Receiving of orders/contracts,2026-04-11 12:07:26,Advance Agrolife Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/ADVANCE_11042026120529_Disclsoure_Under_Reg_30.pdf,True,,unclear,2026-04-13,1457
NSE-sme,AESTHETIK,Aesthetik Engineers Limited,,,Bagging/Receiving of orders/contracts,2026-01-20 17:05:14,Aesthetik Engineers Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/AESTHETIK_20012026170003_update_on_Bagging_of_order_AEL.pdf,True,,unclear,2026-01-21,1403
NSE-equities,AETHER,Aether Industries Limited,INE0BWX01014,,Updates,2023-03-29 15:49:55,"In accordance with Regulation 30 of the SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015, we wish to inform you that we, Aether Industries Limited, have executed a Letter of Intent, effective on March 29, 2023 with Saudi Aramco Technologies Company, Saudi Arabia, as attached.",https://nsearchives.nseindia.com/corporate/AETHER_29032023154955_Intimation.pdf,True,,private,2023-03-31,708
NSE-equities,AFCONS,Afcons Infrastructure Limited,INE101I01011,,Bagging/Receiving of orders/contracts,2026-05-04 18:00:42,Afcons Infrastructure Limited has informed the Exchange about Bagging/Receiving of orders/contracts.,https://nsearchives.nseindia.com/corporate/AFCONS_04052026175216_Afcons_Intimation_PressRelease_on_Awarding_bagging_receivingof_04052026.pdf,True,,unclear,2026-05-05,1471
NSE-equities,AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,,Updates,2024-01-17 17:08:11,Agarwal Industrial Corporation Limited has informed the Exchange regarding 'AGARWAL INDUSTRIAL CORPORATION LIMITED feels immense pleasure while making this privileged announcement to all its Stake holders that the Company has successfully bagged Tenders to supply of Bulk Bitumen from HPCL and BPCL'.,https://nsearchives.nseindia.com/corporate/AGARIND_17012024170811_AnnouncementReg30.pdf,True,,govt,2024-01-18,905
NSE-equities,AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,,Bagging/Receiving of orders/contracts,2026-02-02 11:25:42,Agarwal Industrial Corporation Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/AGARIND_02022026112535_Work_Order_BPCL.pdf,True,,unclear,2026-02-02,1411
NSE-equities,AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,,Bagging/Receiving of orders/contracts,2026-06-03 18:20:40,Agarwal Industrial Corporation Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/AGARIND_03062026182033_Work_Order_HPCL.pdf,True,,unclear,2026-06-04,1492
NSE-sme,AGARWALFT,Agarwal Float Glass India Limited,,,Updates,2023-09-04 15:02:28,Agarwal Float Glass India Limited has informed the Exchange regarding 'we are pleased to inform that our Company (AGARWAL FLOAT GLASS INDIA LIMITED) has received orders of approx. INR  50 Million (815 tons)   of Glasses by different industrial groups today.'.,https://nsearchives.nseindia.com/corporate/AGARWALFT_04092023150228_Coveringletterupdates04092023.pdf,True,50000000.0,unclear,2023-09-04,811
NSE-sme,AGNI,Agni Green Power Limited,,,Updates,2023-02-08 15:22:43,"Agni Green Power Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (Listing obligations and Disclosure Requirements) Regulations, 2015 - Work Order for Design, Manufacture, Testing, Supply, Installation & Commissioning of Grid connected Rooftop SPV Power Plants in the state of Jharkhand.'.",https://nsearchives.nseindia.com/corporate/AGNI_08022023152243_JREDA.pdf,True,,unclear,2023-02-08,673
NSE-sme,AGNI,Agni Green Power Limited,,,Updates,2023-08-23 17:48:09,"Agni Green Power Limited has informed the Exchange regarding ''In terms of Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015,we are pleased to inform that The Tecnimont S.P.A. has placed a work order with us dated 22-08-2023 for Design, Supply, Installation, Testing and Commissioning of 391.3 kWp On-Grid Solar Power Plant at IOCL Paradip Refinery, Odisha.The total project value of the order is Rs. 2,24,16,222/- (Rupees Two Crore Twenty-four Lakhs Sixteen thousand two hundred and twenty-two only/-) which is exclusive of GST. '.",https://nsearchives.nseindia.com/corporate/AGNI_23082023174809_Tecnimont.pdf,True,22416222.0,private,2023-08-24,804
NSE-sme,AGNI,Agni Green Power Limited,,,Updates,2024-01-24 17:52:19,"Agni Green Power Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (Listing obligations and Disclosure Requirements) Regulations, 2015 - Received work order from Subhasree Projects Private Limited Kolkata 700107 for a total value of INR 56,464,470/- only'.",https://nsearchives.nseindia.com/corporate/AGNI_24012024175219_AGNI.pdf,True,56464470.0,private,2024-01-25,910
NSE-sme,AGNI,Agni Green Power Limited,,,Bagging/Receiving of orders/contracts,2026-03-25 15:28:03,Agni Green Power Limited has informed the Exchange about Bagging/Receiving of orders/contracts,https://nsearchives.nseindia.com/corporate/AGNI_25032026152751_Tripura.pdf,True,,unclear,2026-03-25,1447
NSE-equities,AGSTRA,AGS Transact Technologies Limited,INE583L01014,,Updates,2023-02-09 16:22:45,"AGS Transact Technologies Limited has informed the Exchange regarding 'AGS Transact Technologies Limited Wins Order For 8,000+ ATMs/ CRMs In Q3FY23'.",https://nsearchives.nseindia.com/corporate/AGSTRA_09022023162245_press.pdf,True,,unclear,2023-02-10,675
